sequence_id	role	sequence_sha256	length_aa	pfam_accession	pfam_name	description	hmm_length	hmm_start_1based	hmm_end_1based	hmm_coverage	sequence_start_1based	sequence_end_1based	envelope_start_1based	envelope_end_1based	sequence_span_coverage	sequence_bitscore	domain_bitscore	sequence_evalue	domain_independent_evalue	domain_conditional_evalue	sequence_GA_bitscore	domain_GA_bitscore	domain_number
control_3e082fe9a81a2623cd53d4998eea14f5162651d70d3f7f901237056179f67427	parent_control	3e082fe9a81a2623cd53d4998eea14f5162651d70d3f7f901237056179f67427	89	PF00130.29	C1_1	Phorbol esters/diacylglycerol binding domain (C1 domain)	53	1	51	0.9622641509433962	35	82	35	84	0.5393258426966292	46.18401336669922	45.79460525512695	1.1799010283812743e-13	1.5611987148517223e-13	1.306442439206462e-15	26.5	26.5	1
control_3e6fd272b608119f9d4f022d13ded281f9473f45b9de1e2d6b1931b43c2f8a44	parent_control	3e6fd272b608119f9d4f022d13ded281f9473f45b9de1e2d6b1931b43c2f8a44	43	PF00227.32	Proteasome	Proteasome subunit	189	71	115	0.23809523809523808	2	43	1	43	0.9767441860465116	23.98030662536621	23.918224334716797	1.0085725812128504e-06	1.053765423450757e-06	2.7924048878053532e-08	22.399999618530273	22.399999618530273	1
control_3f0d92535c83aaaf1cb87988f77c852edc115e2ada78a61d2ceef0c00008c8bc	parent_control	3f0d92535c83aaaf1cb87988f77c852edc115e2ada78a61d2ceef0c00008c8bc	301	PF00248.28	Aldo_ket_red	Aldo/keto reductase family	290	2	288	0.9896551724137931	7	277	6	279	0.9003322259136213	190.22052001953125	186.24085998535156	1.5864840289199443e-57	2.5880522016351857e-56	3.248601089918643e-58	24.0	24.0	1
control_3f3fd6dd3e3e2f803ae90e6acf81ca7acb5bae7fa17a03d9808d5c64f62838b1	parent_control	3f3fd6dd3e3e2f803ae90e6acf81ca7acb5bae7fa17a03d9808d5c64f62838b1	126	PF05915.18	TMEM_230_134	Transmembrane proteins 230/134	119	1	61	0.5126050420168067	57	126	57	126	0.5555555555555556	63.812774658203125	63.4892463684082	5.945419367042216e-19	7.489610159207833e-19	1.2534912400347837e-20	26.799999237060547	26.799999237060547	1
control_3fdf2bd2689ccc352b67ba2c2b3ed25ee49338a36fa8014888b4a22dabf3782a	parent_control	3fdf2bd2689ccc352b67ba2c2b3ed25ee49338a36fa8014888b4a22dabf3782a	563	PF08216.18	CTNNBL	Catenin-beta-like, Arm-motif containing nuclear	474	2	474	0.9978902953586498	58	534	57	534	0.8472468916518651	617.9080810546875	617.6742553710938	3.469310513330999e-187	4.08465124725039e-187	2.278745465690594e-189	27.0	27.0	1
control_401a3016aad1caffcac387d7d5f58a18be3e0fc15bc0633da2c02e1701300495	parent_control	401a3016aad1caffcac387d7d5f58a18be3e0fc15bc0633da2c02e1701300495	119	PF08718.17	GLTP	Glycolipid transfer protein (GLTP)	147	1	57	0.3877551020408163	18	75	18	76	0.48739495798319327	88.60537719726562	56.48617935180664	1.766477795889546e-26	1.404578491679013e-16	2.3507589818895615e-18	25.600000381469727	25.600000381469727	1
control_401a3016aad1caffcac387d7d5f58a18be3e0fc15bc0633da2c02e1701300495	parent_control	401a3016aad1caffcac387d7d5f58a18be3e0fc15bc0633da2c02e1701300495	119	PF08718.17	GLTP	Glycolipid transfer protein (GLTP)	147	87	129	0.2925170068027211	74	119	72	119	0.3865546218487395	88.60537719726562	31.788318634033203	1.766477795889546e-26	5.760061564292419e-09	9.640270400489405e-11	25.600000381469727	25.600000381469727	2
control_40ddf036dbc509b52f45101c1400c7b6edb2fcefac6fc394009b15b0c29eecaf	parent_control	40ddf036dbc509b52f45101c1400c7b6edb2fcefac6fc394009b15b0c29eecaf	194	PF04201.21	TPD52	Tumour protein D52 family	108	1	108	1.0	31	147	31	147	0.6030927835051546	169.7092742919922	169.0309295654297	7.240892046336795e-52	1.1766335180289628e-51	3.117996770230166e-53	25.0	25.0	1
control_419b9fbcebef67c09211ff79742d70084f6ba1f1a5d25d53e0a067e5bb1bf6f2	parent_control	419b9fbcebef67c09211ff79742d70084f6ba1f1a5d25d53e0a067e5bb1bf6f2	354	PF00129.24	MHC_I	Class I Histocompatibility antigen, domains alpha 1 and 2	179	2	179	0.994413407821229	51	228	50	228	0.5028248587570622	306.7103271484375	306.3907470703125	1.5713431894031132e-93	1.9695470670575425e-93	1.922849298382538e-95	28.299999237060547	28.299999237060547	1
control_419b9fbcebef67c09211ff79742d70084f6ba1f1a5d25d53e0a067e5bb1bf6f2	parent_control	419b9fbcebef67c09211ff79742d70084f6ba1f1a5d25d53e0a067e5bb1bf6f2	354	PF22705.3	C2-set_3	Butyrophilin subfamily 3 member A2-like, Ig-C domain	87	5	80	0.8735632183908046	236	313	233	318	0.22033898305084745	33.99789810180664	28.10810089111328	8.47910951621311e-10	5.836531476335102e-08	8.140211264065693e-11	27.0	27.0	2
control_419b9fbcebef67c09211ff79742d70084f6ba1f1a5d25d53e0a067e5bb1bf6f2	parent_control	419b9fbcebef67c09211ff79742d70084f6ba1f1a5d25d53e0a067e5bb1bf6f2	354	PF07654.22	C1-set	Immunoglobulin C1-set domain	86	13	86	0.8604651162790697	245	315	236	315	0.20056497175141244	50.50248718261719	49.64768600463867	7.79667039643751e-15	1.4409018754523685e-14	1.0048130233280115e-16	21.0	21.0	1
control_41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	parent_control	41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	1641	PF00520.38	Ion_trans	Ion transport protein	243	2	242	0.9917695473251029	126	416	125	417	0.1773308957952468	903.4198608398438	246.55111694335938	1.9885122745763797e-275	7.955941523201494e-75	2.3301920779251238e-76	25.0	25.0	1
control_41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	parent_control	41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	1641	PF00520.38	Ion_trans	Ion transport protein	243	3	239	0.9753086419753086	524	759	522	762	0.14381474710542352	903.4198608398438	219.83592224121094	1.9885122745763797e-275	1.146268291848799e-66	3.357271147674307e-68	25.0	25.0	2
control_41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	parent_control	41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	1641	PF00520.38	Ion_trans	Ion transport protein	243	1	242	0.9958847736625515	885	1162	885	1163	0.16940889701401585	903.4198608398438	217.24742126464844	1.9885122745763797e-275	7.076077851081152e-66	2.0724914208187473e-67	25.0	25.0	3
control_41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	parent_control	41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	1641	PF00520.38	Ion_trans	Ion transport protein	243	2	242	0.9917695473251029	1205	1474	1204	1475	0.16453382084095064	903.4198608398438	238.82958984375	1.9885122745763797e-275	1.8145991593596044e-72	5.314725571346122e-74	25.0	25.0	4
control_41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	parent_control	41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	1641	PF08016.19	PKD_channel	Polycystin cation channel	225	6	223	0.9688888888888889	1230	1468	1225	1470	0.14564290067032298	54.66997146606445	37.310997009277344	3.63296435100322e-16	7.371841958813704e-11	2.1591168917027585e-12	22.399999618530273	22.399999618530273	9
control_41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	parent_control	41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	1641	PF16905.11	GPHH	Voltage-dependent L-type calcium channel, IQ-associated	54	1	54	1.0	1484	1537	1484	1537	0.03290676416819013	101.30438232421875	99.63980102539062	7.513754418800247e-31	2.487141132996932e-30	7.284513778652101e-32	26.799999237060547	26.799999237060547	1
control_41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	parent_control	41ba7738ac2bd091be7c3efc0d7c6d86654bbf4f733a7624a0b8628691f40197	1641	PF08763.18	Ca_chan_IQ	Voltage gated calcium channel IQ domain	77	1	77	1.0	1547	1621	1547	1621	0.04570383912248629	105.94930267333984	104.58981323242188	3.7663520312046145e-32	1.000464608687237e-31	2.9302310714688946e-33	26.700000762939453	26.700000762939453	1
control_41dc4c748505b5ab8ae934ebe42f6cd33634cfe2a856dcfe6b687334f3b39f51	parent_control	41dc4c748505b5ab8ae934ebe42f6cd33634cfe2a856dcfe6b687334f3b39f51	35	PF00071.29	Ras	Ras family	162	1	31	0.19135802469135801	5	35	5	35	0.8857142857142857	38.70878219604492	38.621788024902344	2.7852613033185887e-11	2.962263220432861e-11	9.502378531374587e-13	21.600000381469727	21.600000381469727	1
control_421125d4f5dda9a5d036acbf486c89f1700b91897f895f322f8fe7a3462c90b0	parent_control	421125d4f5dda9a5d036acbf486c89f1700b91897f895f322f8fe7a3462c90b0	200	PF04201.21	TPD52	Tumour protein D52 family	108	1	108	1.0	41	162	41	162	0.61	183.37400817871094	183.0408477783203	4.0963580810291695e-56	5.199406741866137e-56	1.377806528527986e-57	25.0	25.0	1
control_42acabca3dc8f1e7248798688055ec4066b2bdbd4a2535b6fac4875cebc9f984	parent_control	42acabca3dc8f1e7248798688055ec4066b2bdbd4a2535b6fac4875cebc9f984	554	PF15250.12	Raftlin	Raftlin	459	1	459	1.0	1	473	1	473	0.8537906137184116	738.4893798828125	738.1041259765625	1.0135637081629564e-223	1.3265122726362343e-223	7.400347406617764e-226	29.399999618530273	29.399999618530273	1
control_42cee8fb497d9021dbc5682a432eeabfb5aaa169092bc64b6cbbba6d68b061a1	parent_control	42cee8fb497d9021dbc5682a432eeabfb5aaa169092bc64b6cbbba6d68b061a1	684	PF00566.26	RabGAP-TBC	Rab-GTPase-TBC domain	216	2	215	0.9907407407407407	48	245	47	246	0.2894736842105263	74.53694152832031	73.72541046142578	3.539372187085995e-22	6.269046727543398e-22	4.371720172624406e-24	25.200000762939453	25.200000762939453	1
control_42cee8fb497d9021dbc5682a432eeabfb5aaa169092bc64b6cbbba6d68b061a1	parent_control	42cee8fb497d9021dbc5682a432eeabfb5aaa169092bc64b6cbbba6d68b061a1	684	PF23436.2	RabGap-TBC_2	RabGAP TBC domain	214	17	158	0.6635514018691588	119	261	106	275	0.20906432748538012	29.030778884887695	28.189496994018555	2.9697020330676323e-08	5.3718370949902594e-08	1.498420389118622e-10	27.0	27.0	1
control_42cee8fb497d9021dbc5682a432eeabfb5aaa169092bc64b6cbbba6d68b061a1	parent_control	42cee8fb497d9021dbc5682a432eeabfb5aaa169092bc64b6cbbba6d68b061a1	684	PF00581.26	Rhodanese	Rhodanese-like domain	102	9	100	0.9019607843137255	331	438	322	440	0.15789473684210525	26.618988037109375	24.308013916015625	2.395650578166421e-07	1.256365535432846e-06	3.5045063749870182e-09	22.200000762939453	22.200000762939453	2
control_42cee8fb497d9021dbc5682a432eeabfb5aaa169092bc64b6cbbba6d68b061a1	parent_control	42cee8fb497d9021dbc5682a432eeabfb5aaa169092bc64b6cbbba6d68b061a1	684	PF19430.5	TBC1D23_C	TBC1 domain family member 23 C-terminal	119	1	119	1.0	564	682	564	682	0.1739766081871345	263.47662353515625	262.68048095703125	7.9037562425316955e-81	1.3949248477066452e-80	3.891003759293292e-83	26.5	26.5	1
control_43266903a255031a5da35014f3c93eff201d8c0c8f2289afb9c423af1f531db4	parent_control	43266903a255031a5da35014f3c93eff201d8c0c8f2289afb9c423af1f531db4	847	PF00169.36	PH	PH domain	105	2	104	0.9809523809523809	108	222	107	223	0.1357733175914994	46.96123504638672	44.02440643310547	1.2069700384743262e-13	9.894982486895183e-13	1.3800533454526057e-14	25.100000381469727	25.100000381469727	1
control_43266903a255031a5da35014f3c93eff201d8c0c8f2289afb9c423af1f531db4	parent_control	43266903a255031a5da35014f3c93eff201d8c0c8f2289afb9c423af1f531db4	847	PF01237.24	Oxysterol_BP	Oxysterol-binding protein	368	2	360	0.9755434782608695	368	704	364	711	0.39787485242030696	270.18768310546875	266.09600830078125	9.25973651270062e-82	1.6221907506687179e-80	4.524939332409255e-83	28.899999618530273	28.899999618530273	1
control_433596132861087e80fc9376d83bcd06e60a4e4388c5854deb46597d7a72c5a7	parent_control	433596132861087e80fc9376d83bcd06e60a4e4388c5854deb46597d7a72c5a7	619	PF02825.27	WWE	WWE domain	67	1	67	1.0	20	97	20	97	0.1260096930533118	116.31095886230469	55.33047866821289	2.259919045620391e-35	2.4556003221557727e-16	2.0548956670759604e-18	21.100000381469727	21.100000381469727	1
control_433596132861087e80fc9376d83bcd06e60a4e4388c5854deb46597d7a72c5a7	parent_control	433596132861087e80fc9376d83bcd06e60a4e4388c5854deb46597d7a72c5a7	619	PF02825.27	WWE	WWE domain	67	1	67	1.0	110	174	110	174	0.1050080775444265	116.31095886230469	58.74515151977539	2.259919045620391e-35	2.109653411037189e-17	1.765400343964175e-19	21.100000381469727	21.100000381469727	2
control_433596132861087e80fc9376d83bcd06e60a4e4388c5854deb46597d7a72c5a7	parent_control	433596132861087e80fc9376d83bcd06e60a4e4388c5854deb46597d7a72c5a7	619	PF18102.7	DTC	Deltex C-terminal domain	133	1	133	1.0	477	611	477	611	0.21809369951534732	193.5288848876953	192.8711700439453	5.546745501493272e-59	8.856536240867243e-59	3.7056636991076334e-61	25.0	25.0	1
control_4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	parent_control	4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	1661	PF00520.38	Ion_trans	Ion transport protein	243	2	242	0.9917695473251029	126	416	125	417	0.17519566526189043	906.0105590820312	249.21405029296875	3.2162583481605683e-276	1.2230782448859648e-75	3.582237537322909e-77	25.0	25.0	1
control_4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	parent_control	4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	1661	PF00520.38	Ion_trans	Ion transport protein	243	3	239	0.9753086419753086	544	779	542	782	0.14208308248043347	906.0105590820312	219.81097412109375	3.2162583481605683e-276	1.1665550125910761e-66	3.4166883213964574e-68	25.0	25.0	2
control_4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	parent_control	4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	1661	PF00520.38	Ion_trans	Ion transport protein	243	1	242	0.9958847736625515	905	1182	905	1183	0.16736905478627334	906.0105590820312	217.2212371826172	3.2162583481605683e-276	7.207572170731629e-66	2.1110044014695148e-67	25.0	25.0	3
control_4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	parent_control	4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	1661	PF00520.38	Ion_trans	Ion transport protein	243	2	242	0.9917695473251029	1225	1494	1224	1495	0.1625526791089705	906.0105590820312	238.80323791503906	3.2162583481605683e-276	1.8485379105350534e-72	5.414127771441579e-74	25.0	25.0	4
control_4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	parent_control	4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	1661	PF08016.19	PKD_channel	Polycystin cation channel	225	6	223	0.9688888888888889	1250	1488	1245	1490	0.14388922335942203	54.72223663330078	37.285362243652344	3.5017217862674904e-16	7.506086462392886e-11	2.1984353655544018e-12	22.399999618530273	22.399999618530273	9
control_4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	parent_control	4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	1661	PF16905.11	GPHH	Voltage-dependent L-type calcium channel, IQ-associated	54	1	54	1.0	1504	1557	1504	1557	0.0325105358217941	101.26705169677734	99.62060546875	7.7181858568777224e-31	2.5217100030496283e-30	7.385761515208116e-32	26.799999237060547	26.799999237060547	1
control_4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	parent_control	4337e7d64244240f91e56ae1bdac7f706955a928026a573a04d098c0081c854b	1661	PF08763.18	Ca_chan_IQ	Voltage gated calcium channel IQ domain	77	1	77	1.0	1567	1641	1567	1641	0.04515352197471403	105.9200668334961	104.56998443603516	3.8463170057509e-32	1.0148224508658505e-31	2.9722833288957967e-33	26.700000762939453	26.700000762939453	1
control_43663ceb31b62a55ca36df46c18cd38f9331cfa62a17b54c51df23622432b220	parent_control	43663ceb31b62a55ca36df46c18cd38f9331cfa62a17b54c51df23622432b220	88	PF05008.22	V-SNARE	Vesicle transport v-SNARE protein N-terminus	92	1	88	0.9565217391304348	1	88	1	88	1.0	107.85298156738281	107.72643280029297	1.0819969876205306e-32	1.1849727322941113e-32	8.263408174993804e-35	25.899999618530273	25.899999618530273	1
control_43a1049551ae07e88d18b6f10867877af1ce57df431fa377cc1878cd3e9628b4	parent_control	43a1049551ae07e88d18b6f10867877af1ce57df431fa377cc1878cd3e9628b4	512	PF02403.28	Seryl_tRNA_N	Seryl-tRNA synthetase N-terminal domain	108	1	93	0.8611111111111112	2	98	2	112	0.189453125	64.59263610839844	64.59263610839844	3.317355930893497e-19	3.317355930893497e-19	9.253433558977676e-22	28.200000762939453	28.200000762939453	1
control_43a1049551ae07e88d18b6f10867877af1ce57df431fa377cc1878cd3e9628b4	parent_control	43a1049551ae07e88d18b6f10867877af1ce57df431fa377cc1878cd3e9628b4	512	PF00587.31	tRNA-synt_2b	tRNA synthetase class II core domain (G, H, P, S and T)	179	5	179	0.9776536312849162	259	444	248	444	0.36328125	188.80360412597656	187.9716033935547	3.4236635805355426e-57	6.164267443219666e-57	1.7194609325577867e-59	29.299999237060547	29.299999237060547	1
control_44027ed0cd41ca97ce5b348735e3f9809772b0e94dba21952f93d278f833f499	parent_control	44027ed0cd41ca97ce5b348735e3f9809772b0e94dba21952f93d278f833f499	127	PF02578.22	Cu-oxidase_4	Multi-copper polyphenol oxidoreductase laccase	236	112	235	0.5254237288135594	1	125	1	126	0.984251968503937	102.17489624023438	102.0279769897461	1.130473532157292e-30	1.25356667246739e-30	5.24504883877569e-33	22.899999618530273	22.899999618530273	1
control_454352c260a8e30113c81de962c9c2fe56f463fece67f56a974be807b8b9f6d7	parent_control	454352c260a8e30113c81de962c9c2fe56f463fece67f56a974be807b8b9f6d7	180	PF05915.18	TMEM_230_134	Transmembrane proteins 230/134	119	1	119	1.0	57	178	57	178	0.6777777777777778	126.51619720458984	118.11651611328125	2.184872380341997e-38	8.767676884173794e-36	1.4673936207822248e-37	26.799999237060547	26.799999237060547	1
control_46ad991488bace04a995efdf6ebc0192701833f042d748a5f9f51760e87de663	parent_control	46ad991488bace04a995efdf6ebc0192701833f042d748a5f9f51760e87de663	245	PF25372.2	LRR_FBXL15	F-box/LRR-repeat protein 15, leucine rich repeat domain	550	277	471	0.35454545454545455	36	230	31	241	0.7959183673469388	56.431888580322266	55.320396423339844	6.612514617788007e-17	1.4358163770869526e-16	8.010133205506011e-19	27.5	27.5	2
control_46ad991488bace04a995efdf6ebc0192701833f042d748a5f9f51760e87de663	parent_control	46ad991488bace04a995efdf6ebc0192701833f042d748a5f9f51760e87de663	245	PF13516.13	LRR_6	Leucine Rich repeat	24	6	24	0.7916666666666666	51	69	48	69	0.07755102040816327	52.76481246948242	11.138031959533691	6.138804009415518e-16	0.013000073884238626	7.252481943787239e-05	23.399999618530273	8.699999809265137	1
control_46ad991488bace04a995efdf6ebc0192701833f042d748a5f9f51760e87de663	parent_control	46ad991488bace04a995efdf6ebc0192701833f042d748a5f9f51760e87de663	245	PF13516.13	LRR_6	Leucine Rich repeat	24	2	24	0.9583333333333334	101	124	100	124	0.09795918367346938	52.76481246948242	12.512585639953613	6.138804009415518e-16	0.00471969448361343	2.633023421820602e-05	23.399999618530273	8.699999809265137	4
control_46ad991488bace04a995efdf6ebc0192701833f042d748a5f9f51760e87de663	parent_control	46ad991488bace04a995efdf6ebc0192701833f042d748a5f9f51760e87de663	245	PF13516.13	LRR_6	Leucine Rich repeat	24	1	23	0.9583333333333334	152	174	152	175	0.09387755102040816	52.76481246948242	12.1610746383667	6.138804009415518e-16	0.0061156425992514455	3.4117950344499e-05	23.399999618530273	8.699999809265137	6
control_46af05f7374377716b94f4ec8a767179cbf807aa1024b38054cdaf08eb7ccaf6	parent_control	46af05f7374377716b94f4ec8a767179cbf807aa1024b38054cdaf08eb7ccaf6	402	PF15242.12	FAM53	Family of FAM53	304	1	304	1.0	1	299	1	299	0.7437810945273632	406.703369140625	406.31109619140625	3.4352713494753134e-123	4.522848635714792e-123	1.2616035246066366e-125	27.0	27.0	1
control_47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	parent_control	47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	534	PF16880.11	EHD_N	N-terminal EH-domain containing protein	33	1	33	1.0	24	56	24	56	0.06179775280898876	62.26129150390625	61.263824462890625	1.193660688378369e-18	2.4472175466588745e-18	1.0239403960915793e-20	21.5	21.5	1
control_47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	parent_control	47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	534	PF01926.30	MMR_HSR1	50S ribosome-binding GTPase	113	2	113	0.9911504424778761	61	220	60	220	0.299625468164794	34.58222579956055	31.721811294555664	6.64388084396175e-10	5.1324976316989944e-09	9.305783711588135e-11	21.899999618530273	21.899999618530273	1
control_47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	parent_control	47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	534	PF00350.30	Dynamin_N	Dynamin family	168	1	168	1.0	61	221	61	221	0.301498127340824	65.89935302734375	64.45804595947266	1.701014667525495e-19	4.7171702818001295e-19	1.9737114149791335e-21	27.0	27.0	1
control_47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	parent_control	47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	534	PF18150.7	DUF5600	Domain of unknown function (DUF5600)	107	1	107	1.0	288	394	288	394	0.20037453183520598	156.8357391357422	155.5333709716797	9.668392754872292e-48	2.456330014756212e-47	3.42584381416487e-50	26.600000381469727	26.600000381469727	1
control_47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	parent_control	47ac6e6903ec920667a04a8352f5f97226bf9e90fb6186377eee8d60d7995775	534	PF12763.14	EH	EH domain	101	5	94	0.8910891089108911	444	531	441	534	0.1647940074906367	70.83274841308594	68.99060821533203	2.826920618557807e-21	1.0596637268437816e-20	1.6257044623823707e-22	22.0	22.0	2
control_47ca39724c6f2b496875cd3c58af8aa4081e67805272673180efb71f99d87808	parent_control	47ca39724c6f2b496875cd3c58af8aa4081e67805272673180efb71f99d87808	184	PF00169.36	PH	PH domain	105	2	104	0.9809523809523809	6	110	5	111	0.5706521739130435	73.19693756103516	72.43576049804688	8.301063771711626e-22	1.4320374571740618e-21	1.9972628412469482e-23	25.100000381469727	25.100000381469727	1
control_47ca39724c6f2b496875cd3c58af8aa4081e67805272673180efb71f99d87808	parent_control	47ca39724c6f2b496875cd3c58af8aa4081e67805272673180efb71f99d87808	184	PF00779.25	BTK	BTK motif	30	1	29	0.9666666666666667	119	147	119	148	0.15760869565217392	53.459407806396484	52.756813049316406	6.495294355568595e-16	1.0771048848182855e-15	4.506714999239689e-18	24.0	24.0	1
control_47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	parent_control	47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	608	PF00169.36	PH	PH domain	105	2	104	0.9809523809523809	6	110	5	111	0.17269736842105263	70.21456909179688	69.00457763671875	7.031060636772048e-21	1.672932826146137e-20	2.333239645949982e-22	25.100000381469727	25.100000381469727	1
control_47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	parent_control	47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	608	PF00779.25	BTK	BTK motif	30	1	29	0.9666666666666667	119	147	119	148	0.047697368421052634	51.63364028930664	50.5554084777832	2.417723437228757e-15	5.254179573624337e-15	2.1984014952403082e-17	24.0	24.0	1
control_47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	parent_control	47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	608	PF00018.35	SH3_1	SH3 domain	48	1	39	0.8125	184	222	184	225	0.06414473684210527	45.42916488647461	43.6245231628418	1.7250662585942996e-13	6.316832656340165e-13	1.2334122341528915e-14	22.899999618530273	22.899999618530273	1
control_47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	parent_control	47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	608	PF00017.31	SH2	SH2 domain	77	1	77	1.0	224	307	224	307	0.13815789473684212	70.85230255126953	69.54106903076172	2.8984973819866214e-21	7.43702641871879e-21	1.0372421783429275e-22	21.0	21.0	1
control_47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	parent_control	47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	608	PF07714.24	PK_Tyr_Ser-Thr	Protein tyrosine and serine/threonine kinase	258	1	257	0.9961240310077519	347	595	347	596	0.4095394736842105	330.4795227050781	330.0123596191406	2.456831045914629e-100	3.4113261365441267e-100	1.903110815366319e-102	23.100000381469727	23.100000381469727	1
control_47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	parent_control	47d269676c35cd2066d34dbcd43e9a5d1af70a0eb831514cfb824c54940d9663	608	PF00069.32	Pkinase	Protein kinase domain	262	3	258	0.9770992366412213	349	594	347	596	0.40460526315789475	162.3949737548828	161.88380432128906	5.211833562728726e-49	7.463413771200441e-49	4.1636896910462713e-51	31.700000762939453	31.700000762939453	1
control_47d60f8793c8bba7de2eeafd23e477f43ead3931a188d950aeb2821bb3282a35	parent_control	47d60f8793c8bba7de2eeafd23e477f43ead3931a188d950aeb2821bb3282a35	363	PF13637.13	Ank_4	Ankyrin repeats (many copies)	50	3	50	0.96	16	64	14	64	0.1349862258953168	43.50811767578125	42.696834564208984	9.974235671327064e-13	1.7963752358232047e-12	4.509728625497585e-14	22.700000762939453	22.700000762939453	1
control_47d60f8793c8bba7de2eeafd23e477f43ead3931a188d950aeb2821bb3282a35	parent_control	47d60f8793c8bba7de2eeafd23e477f43ead3931a188d950aeb2821bb3282a35	363	PF12796.14	Ank_2	Ankyrin repeats (3 copies)	90	3	62	0.6666666666666666	16	79	14	92	0.1763085399449036	40.11379623413086	39.397438049316406	1.606885262950533e-11	2.6883740817399317e-11	6.749056272150456e-13	27.299999237060547	27.299999237060547	1
control_47d60f8793c8bba7de2eeafd23e477f43ead3931a188d950aeb2821bb3282a35	parent_control	47d60f8793c8bba7de2eeafd23e477f43ead3931a188d950aeb2821bb3282a35	363	PF13606.13	Ank_3	Ankyrin repeat	31	1	28	0.9032258064516129	43	69	43	72	0.0743801652892562	29.489612579345703	24.229515075683594	1.9901730862105093e-08	1.0422482208440857e-06	2.6165227301525163e-08	22.299999237060547	17.200000762939453	2
control_47d60f8793c8bba7de2eeafd23e477f43ead3931a188d950aeb2821bb3282a35	parent_control	47d60f8793c8bba7de2eeafd23e477f43ead3931a188d950aeb2821bb3282a35	363	PF00023.37	Ank	Ankyrin repeat	33	1	30	0.9090909090909091	43	72	43	75	0.08264462809917356	42.55971145629883	33.02869415283203	1.5646554682435978e-12	1.7008054147668504e-09	4.2698043885360264e-11	21.100000381469727	14.699999809265137	2
