junction_id,reference_build,gene_5p,chromosome_5p,strand_5p,boundary_5p,gene_3p,chromosome_3p,strand_3p,boundary_3p,evidence_state,biological_samples,distinct_qualifying_reads,mapping_specific_reads,mapping_specificity_unknown_reads,median_split_single_margin,median_shorter_anchor_nt,caller_agreement,callers,proposal_sources,assessed_distinct_reads,read_state_counts,rank_min,rank_max,display_rank
junction_5690b0483c86d77f57900d324533187d5cbc4f9489741931184a45a38a7b2335,GRCm39/GENCODE_M28,ENSMUSG00000069516.9,chr10,-,117113237,ENSMUSG00000064341.1,chrM,+,2812,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1942
junction_56924ffa663a0b2c555dba0ff51041637acd6b2564ca791cfeaa0ec88526efcd,GRCm39/GENCODE_M28,ENSMUSG00000042228.15,chr4,+,3791077,ENSMUSG00000025421.16,chr18,+,77059155,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1943
junction_5698ab73d8e39535f6ad53b1d0ceae7aba748fc1088a4c17f2ca2747835d37f1,GRCm39/GENCODE_M28,ENSMUSG00000043716.14,chr1,-,16171948,ENSMUSG00000007891.17,chr7,-,141934656,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1944
junction_56b90889b20e87ed9ce0fe70738dbb1d8ca6b8412afa23cde4fda73bb9f780f2,GRCm39/GENCODE_M28,ENSMUSG00000022982.11,chr16,+,90023218,ENSMUSG00000060419.9,chr5,-,129205610,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1945
junction_56bdb4d116f4893741d65988fccf293000959c98aad951a0c91128bc1187dd3a,GRCm39/GENCODE_M28,ENSMUSG00000090124.8,chr1,+,88023026,ENSMUSG00000090171.2,chr1,+,88142763,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],7,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 7, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1946
junction_56cb1781a46170e2a8bd059ee8fa9794a091b115b897b58b95d0e72ccd7bf1cc,GRCm39/GENCODE_M28,ENSMUSG00000061232.17,chr17,-,34215006,ENSMUSG00000039001.13,chr2,+,179899413,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1947
junction_56cb9780ff11165c123566aac86d6b0554ac906435fd3cafcd903aef3454215b,GRCm39/GENCODE_M28,ENSMUSG00000016344.15,chr2,+,180830255,ENSMUSG00000040385.8,chr19,+,4242161,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1948
junction_56cec5253c862c52b4ebab0939c83a075608c070e430a45a25ded02feb1c54ea,GRCm39/GENCODE_M28,ENSMUSG00000025393.13,chr10,+,127926125,ENSMUSG00000029304.15,chr5,+,104588496,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1949
junction_56d746edda458b32424248cec1701c1755c4cda696031039440b9dbc8a303553,GRCm39/GENCODE_M28,ENSMUSG00000035212.15,chr4,+,101516553,ENSMUSG00000021939.9,chr14,+,63379983,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1950
junction_56eaab3db625f83a78a419f40699d51c0397aca5e6bc99d15e8f7faf94b5adec,GRCm39/GENCODE_M28,ENSMUSG00000076138.3,chr9,-,78385735,ENSMUSG00000000131.16,chr7,-,125709159,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1951
junction_56f9d23bf74d36e6238ee7e0c4af410440c293cc61f57126f84d7c0df21addd1,GRCm39/GENCODE_M28,ENSMUSG00000030846.16,chr7,-,128044014,ENSMUSG00000036896.6,chr4,-,136617527,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1952
junction_56fbef9736c654113b4d487c725ecbbc0c92b4f447e0a6e03db4dc608f097ea6,GRCm39/GENCODE_M28,ENSMUSG00000024030.8,chr17,+,31334714,ENSMUSG00000019302.17,chr11,+,100954009,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1953
junction_57028caa8da7c33965319e3b68a501121143eba878bbaa68370dda2c92813e57,GRCm39/GENCODE_M28,ENSMUSG00000005413.9,chr8,+,75827211,ENSMUSG00000064341.1,chrM,+,2762,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1954
junction_57244b02ad1f5d5e7ba1d18c92074eead890614a53840ff6212c4399b30cecd0,GRCm39/GENCODE_M28,ENSMUSG00000005161.16,chr8,+,85700945,ENSMUSG00000024661.8,chr19,+,9961921,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1955
junction_572eb93457f01e5bc32c2e80f1a07d10f87d8a93426bd0449a0088ac74db1c35,GRCm39/GENCODE_M28,ENSMUSG00000027447.7,chr2,-,148713659,ENSMUSG00000071866.13,chr11,+,6365899,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1956
junction_573296881482d4f57ae37443e6e89701bfc93e01b0b32a794657cbb510f451ee,GRCm39/GENCODE_M28,ENSMUSG00000027219.14,chr2,+,122291595,ENSMUSG00000024845.20,chr19,+,4175981,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1957
junction_573684dcc0cd0aa7cad7267682b079462bf51bb707af3b60db70152b4b4d0527,GRCm39/GENCODE_M28,ENSMUSG00000020349.5,chr11,+,52013566,ENSMUSG00000058715.12,chr1,-,171061863,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1958
junction_5744c734f83980e11c3b9e298238f6a33950227c3da24931fc508ae09912882e,GRCm39/GENCODE_M28,ENSMUSG00000041736.8,chr15,+,83458401,ENSMUSG00000030157.6,chr6,+,129163020,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1959
junction_5754ba69d68306188f8b7aa3b3d54edc887347d4dc5e5d3233f15af0419ab115,GRCm39/GENCODE_M28,ENSMUSG00000076138.3,chr9,-,78385735,ENSMUSG00002075486.1,chr17,-,21504507,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1960
junction_575532dc3aebf7253ec5c06345dcb9010d70c5c4eef6c60d62c9330825395b7d,GRCm39/GENCODE_M28,ENSMUSG00000031093.15,chrX,+,35340205,ENSMUSG00000017734.16,chr2,+,164328494,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1961
junction_575a3e30f2fcb2d34ee88a83ead76c5563c1c1e15d4e4c99ff788a62ef2af927,GRCm39/GENCODE_M28,ENSMUSG00000019961.18,chr10,-,90983435,ENSMUSG00000047843.17,chr5,+,144192612,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1962
junction_575f299e7811a1055e5559cfaed4d4d295995a7e241da00adccf6699c9a2785b,GRCm39/GENCODE_M28,ENSMUSG00000036781.14,chr9,+,66856795,ENSMUSG00000024661.8,chr19,+,9960080,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1963
junction_577c079c921116c201260cc24c518461663f68f0538fae373c335fe2f49e2a25,GRCm39/GENCODE_M28,ENSMUSG00000021939.9,chr14,+,63380493,ENSMUSG00000025993.11,chr1,-,45948285,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1964
junction_5785ad27e4cf82a77449e9798fb7ef44659ec43a3e007b5ebb6e475fd2fc155a,GRCm39/GENCODE_M28,ENSMUSG00000047459.15,chr2,+,155092192,ENSMUSG00000028843.9,chr4,-,133856063,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1965
junction_578abc5e68c89835363dbdab5710ba745e4adbf33dbe20f9581be8927931c024,GRCm39/GENCODE_M28,ENSMUSG00000007891.17,chr7,-,141913931,ENSMUSG00000036896.6,chr4,-,136617540,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1966
junction_57a79a870c23c179a68ec848b5f74003e2c2b01043cf79b22d9fb4fcf988243b,GRCm39/GENCODE_M28,ENSMUSG00000050335.18,chr14,+,47623254,ENSMUSG00000008683.17,chr7,-,117714470,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1967
junction_57e14126d8a265cf71e3acbe72df1f043917f07d3f1161242fa0eec450335fb7,GRCm39/GENCODE_M28,ENSMUSG00000000594.8,chr11,+,55001722,ENSMUSG00000101111.2,chr1,-,24652520,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1968
junction_57e5fe9e715149637ec11d8e56e02031ec3fe2d10935e0afd2720b6d4bb9de5e,GRCm39/GENCODE_M28,ENSMUSG00000032698.16,chr2,+,103812223,ENSMUSG00000021939.9,chr14,+,63370897,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1969
junction_57e6558aafa9a690c01867499f0e49e6035e01bef6db1097c157f577aa871ea3,GRCm39/GENCODE_M28,ENSMUSG00000024661.8,chr19,+,9962457,ENSMUSG00000030579.11,chr7,+,30116788,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1970
junction_5801ca72eab8fb3363269cd5811884e69528f8a3eab4c0b24912a46b72bdb473,GRCm39/GENCODE_M28,ENSMUSG00000059005.14,chr2,+,75497313,ENSMUSG00000015733.14,chr6,+,17637105,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1971
junction_58122de1338c70b4a9a4ff0c0965173e60b8bc623348c3130d4d464f8a12c122,GRCm39/GENCODE_M28,ENSMUSG00000078713.9,chr4,-,45105211,ENSMUSG00000049091.8,chr7,-,126872944,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1972
junction_58217dcf25561e59995d3c5df07acd60636ee82f95906ef9af5325e872c0da8d,GRCm39/GENCODE_M28,ENSMUSG00000064351.1,chrM,+,6923,ENSMUSG00000108350.2,chr7,-,79573281,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1973
junction_5833c80421b3f1a680f48bacb9c429c8462faab60013ba5c649241fbddf681f3,GRCm39/GENCODE_M28,ENSMUSG00000027698.15,chr3,+,27299106,ENSMUSG00000056737.15,chr6,+,72526470,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1974
junction_5837ec7183809ce2418c8f00011fa0a17e759743efd50b5f6fc1fc006995bca5,GRCm39/GENCODE_M28,ENSMUSG00000030629.16,chr7,-,84264259,ENSMUSG00000050708.17,chr7,-,45109249,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1975
junction_583ae613b0af097cabbe1bb30cdf86904386f71a4347d65bbddf7db56c5c3db7,GRCm39/GENCODE_M28,ENSMUSG00000037742.15,chr9,-,78385743,ENSMUSG00000005054.8,chr10,+,78261567,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1976
junction_583ca212a25ab81b41d02bfc898d28c7f733a48090727765b6ffd8927192b070,GRCm39/GENCODE_M28,ENSMUSG00000019132.12,chr13,+,24997959,ENSMUSG00000050708.17,chr7,-,45109244,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1977
junction_5842b700107fe376ae18698d7b2f68333caf94164f2411d9d7656f117905ceb7,GRCm39/GENCODE_M28,ENSMUSG00000019471.11,chr9,-,21050725,ENSMUSG00000024661.8,chr19,+,9960079,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1978
junction_584ef52ac56cc55177de769402a07a28fad7167789245c6fdc27c9a397bbd54f,GRCm39/GENCODE_M28,ENSMUSG00000021242.10,chr12,-,84803264,ENSMUSG00000047843.17,chr5,+,144198945,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1979
junction_587789f514afd2918d19ee00be84bd2057e175c2a76616b02829e71bdfbbe0ef,GRCm39/GENCODE_M28,ENSMUSG00000053063.12,chr6,+,129341377,ENSMUSG00000050708.17,chr7,-,45109254,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1980
junction_587802209ecedd64f3956972bd52a918c397cc1d7a76cb6d2e72e0261a3cdf0a,GRCm39/GENCODE_M28,ENSMUSG00000100755.2,chr3,+,37769187,ENSMUSG00000019832.6,chr10,-,10421256,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1981
junction_5884ebf21edebd042abb0c8588ff16c4779bed493de34325934030de4137528d,GRCm39/GENCODE_M28,ENSMUSG00000030220.14,chr6,-,136900702,ENSMUSG00000101111.2,chr1,-,24653041,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1982
junction_589203d48d6e05b1a1ce3fa943a8bf8de6d283acab30650e9c58127cce547167,GRCm39/GENCODE_M28,ENSMUSG00000040681.17,chr16,-,95922790,ENSMUSG00000024208.17,chr17,-,27352853,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1983
junction_5895ea984dd625b4a0072ec2218db3ec070bfd7f3b9ad7a2f8237cefea0fb0f3,GRCm39/GENCODE_M28,ENSMUSG00000030861.16,chr7,+,131047935,ENSMUSG00000069565.13,chr10,+,80123538,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1984
junction_589735f86152eed08587c44ec1b3f8d887a03f667e2a8354ab928a57b1858a20,GRCm39/GENCODE_M28,ENSMUSG00000039001.13,chr2,+,179900230,ENSMUSG00002076377.1,chr7,-,45109251,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1985
junction_589913315d5c9c63b84180b7d79b18ee25a295eebc23d1601d808483a9f971eb,GRCm39/GENCODE_M28,ENSMUSG00000090124.8,chr1,+,88023690,ENSMUSG00000054545.18,chr1,+,88142764,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1986
junction_58aea41349b92820a40729a0f0af919dbc4af61ead56e0ef96a02f70ee503be7,GRCm39/GENCODE_M28,ENSMUSG00000028691.13,chr4,+,116556705,ENSMUSG00000027472.15,chr2,-,152857296,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1987
junction_58ba155bef85f3680bcf94a9511f4abfd90d0dd151c948604dad17af8e49e6c3,GRCm39/GENCODE_M28,ENSMUSG00000001750.17,chr19,-,3946051,ENSMUSG00000067038.7,chr19,+,59310787,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1988
junction_58db8db5e594ae07f904f2218450682b8be8083ff1c72264308935e0d115742f,GRCm39/GENCODE_M28,ENSMUSG00000023088.18,chr16,+,14292719,ENSMUSG00000050708.17,chr7,-,45109249,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1989
junction_58e1fcd2a5503ccdcef5f8880983f62a5129b483dc300267a498b3d33a2e9f8b,GRCm39/GENCODE_M28,ENSMUSG00000058443.6,chr9,-,50255529,ENSMUSG00000060419.9,chr5,-,129205554,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1990
junction_58e38ead8704831342fee9e408bc5204dc80cd583899faa0ae69ac5a5c8b7823,GRCm39/GENCODE_M28,ENSMUSG00000029614.14,chr5,+,121347021,ENSMUSG00000024661.8,chr19,+,9960079,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1991
junction_58f4fa461c60ac2441e97413a19282fca760a0dc5c910226d19675da53d5a253,GRCm39/GENCODE_M28,ENSMUSG00000028945.10,chr5,-,25008245,ENSMUSG00000060743.13,chr1,-,180641105,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1992
junction_58f7f17b6e05ac7d314935ad90b00835b990a93054b14dfc281829c9cd40c340,GRCm39/GENCODE_M28,ENSMUSG00000018774.14,chr11,-,69543599,ENSMUSG00000032518.7,chr9,+,119956866,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1993
junction_590eb72298f929fbe59e7b9659a9f1712a75c231a1cd5687472bfc6820020ed6,GRCm39/GENCODE_M28,ENSMUSG00000021939.9,chr14,+,63380602,ENSMUSG00000027613.16,chr2,-,155668591,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1994
junction_59195e13597220f825b63031e162e862c3d8cee6a19d207a6cd9caddfdbc2447,GRCm39/GENCODE_M28,ENSMUSG00000038642.11,chr3,+,95463712,ENSMUSG00000055447.20,chr16,+,49731230,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1995
junction_5921edf6bd234947343387fbb6ff17f8701ace01db74b621f4fe3a85bf3deb2e,GRCm39/GENCODE_M28,ENSMUSG00000063457.15,chr10,+,80129946,ENSMUSG00000042476.13,chr5,+,8988582,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1996
junction_59287789cbf84b648a7da04dc68fda31cb7a5cb5d64a190089fb5d7439def904,GRCm39/GENCODE_M28,ENSMUSG00000024661.8,chr19,+,9962457,ENSMUSG00000007892.9,chr9,-,61821809,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,1997
