pair_id	chrom1	breakpoint1	strand1	chrom2	breakpoint2	strand2	read_ids	long_read_support	source_rows	assembly	sample_ids	sample_count	source_id	coordinate_basis	sequence
Fth1:Oxct1	chr19	9962456	+	chr15	4064741	+	47dc8f00-1887-4be8-b534-61dda279f33c	1	25149	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:P4hb	chr19	9962462	+	chr11	120454231	-	6b90c934-8f24-42fb-addf-06c5919df9c4	1	5996	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pa2g4	chr19	9962456	+	chr10	128396606	-	02ba76a7-5f9a-4029-a6ac-a86ad134cf32	1	18409	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pabpc1	chr19	9962462	+	chr15	36600932	-	fa2bc951-27fa-4864-beed-999b299119b7	1	31196	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pafah1b1	chr19	9962462	+	chr11	74581436	-	7affbf09-7b6f-4610-97ee-8267e884a02b	1	5242	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pafah1b3	chr19	9962462	+	chr7	24996895	-	417ca0bb-8cb0-4d4e-bb0c-9c98bdf871b4	1	24591	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Paics	chr19	9962456	+	chr5	77104392	+	32968162-18ab-4a3f-b720-e9f787a70625	1	36115	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Parp12	chr19	9962462	+	chr6	39077378	-	682da51c-49b3-4878-aadd-5cdeabd91145	1	18584	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pdcd10	chr19	9962462	+	chr3	75464163	-	31b2cd18-d512-48ee-80aa-1556ace6b7ee	1	25396	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pdcd5	chr19	9962462	+	chr7	35346946	-	6d419b32-2eff-47b9-ba4b-520630377223	1	25422	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pdia3	chr19	9962462	+	chr2	121265269	+	4cc9e731-0121-4c15-ae4c-b564d4782b3a	1	25392	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pdia6	chr19	9962462	+	chr12	17329579	+	2b131e02-0e81-4204-ad85-a87ec2171fe1	1	28284	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pepd	chr19	9962462	+	chr7	34620753	+	5e005702-3c15-4fb2-9d06-d4a34f74df51	1	12400	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pet100	chr19	9962462	+	chr8	3672341	+	7a2a8723-1825-4abe-b441-02b4d993014e	1	18857	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pfdn1	chr19	9962462	+	chr18	36537513	-	6a80dd7f-de59-4476-a73f-802d88a9004a	1	18203	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pfn1	chr19	9962462	+	chr11	70543805	-	2c122073-fd2d-449c-8d83-4ab90f96fea7	1	28109	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pfn1	chr19	9962462	+	chr11	70545470	-	2601f849-52c1-4c12-803e-eba2ce487343;3848bec1-aba7-4fd4-af75-29c071ea4446;a49728d9-da9d-4705-a667-f027687fbd52;ae6fc260-d5ba-40fa-90ba-54ebe4b98dd7	4	11347;16941;23421;24897	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pgam1-ps2	chr19	9962456	+	chr7	27169960	-	1ee876f9-6b0f-46a2-a4f0-90e644ee31c3	1	25589	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pgd	chr19	9962462	+	chr4	149244585	-	3ad9ea3a-4104-49d6-8f47-c3b1bbceb791	1	25406	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pgd	chr19	9962462	+	chr4	149250539	-	8ec0f6bb-1712-4bee-8c9e-292388a3ff8e	1	23620	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pgls	chr19	9962462	+	chr8	72047704	+	89f45660-5d42-4950-96d3-08c8d6f6193b	1	6045	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Phf5a	chr19	9962456	+	chr15	81756112	-	ec869d3e-09aa-41c5-a7f0-012d6f29c69e	1	18747	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Phf5a	chr19	9962462	+	chr15	81756112	-	119366b5-ce99-4b4f-9ff0-09e14040e0d7;784ed7d6-a83d-4df8-9e52-58cab8e307c6	2	12395;23678	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Picalm	chr19	9962462	+	chr7	89823655	+	1b9a30e8-637f-4ed5-b6f0-dccaea08277f	1	34128	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pigbos1	chr19	9962462	+	chr9	72946999	+	ee337903-74fc-4522-a5c6-206b703eaae4	1	28858	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pik3ap1	chr19	9962462	+	chr19	41271589	-	e4a80897-6731-477d-a476-7b5eb596e08e	1	12308	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pik3cg	chr19	9962462	+	chr12	32250899	-	2d363851-aa00-4c8b-98aa-32e4606c3bef	1	5209	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pilrb1	chr19	9962462	+	chr5	137856311	-	76ba8de0-859f-4224-a9e4-00eee5193190	1	18771	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pisd	chr19	9962462	+	chr5	32899819	-	862472fa-3211-4255-b064-9910eb3c34c8	1	18051	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pitpna	chr19	9962456	+	chr11	75478922	+	1ddb56b6-58ce-420b-a072-d295c8268b1f	1	16897	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pitpnb	chr19	9962456	+	chr5	111478628	+	796ae0b0-3a87-405b-8280-7d9fec2db5c0	1	25494	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pkm	chr19	9962462	+	chr9	59579203	+	262eaa56-ade4-4db8-a085-0bacd3ecbf02	1	28701	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pkm	chr19	9962462	+	chr9	59585326	+	cca511b0-7712-4d75-a92f-75333e82d43d	1	18503	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pkm	chr19	9962462	+	chr9	59586010	+	11b8aaaa-aa8a-4290-b33e-0f1d089a7813	1	18502	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pla2g7	chr19	9962462	+	chr17	43918125	+	9553bd52-d608-47bc-8ebe-d39b15f27332	1	18064	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Plaat3	chr19	9962462	+	chr19	7556318	+	e4ac8270-dfcb-4c36-bc06-db32f9261f09	1	18718	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Plbd1	chr19	9962462	+	chr6	136594400	-	c4442b18-ba0a-42f8-b2eb-c815157047f8	1	18488	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pld3	chr19	9962456	+	chr7	27231910	-	5d071788-2945-4b26-9727-9194ede48a79	1	24461	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pld4	chr19	9962456	+	chr12	112734458	+	d6b414ca-0a49-465b-8b78-557bdc742ef4	1	28760	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Plin2	chr19	9962462	+	chr4	86586942	-	1ff3859c-47da-4e2e-a3b6-1a075459e027	1	31302	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pltp	chr19	9962462	+	chr2	164681748	-	3de76afa-b199-4581-9b38-d611fb1faba1	1	4737	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Plxnd1	chr19	9962462	+	chr6	115936801	-	1f83d55d-0d75-4e05-bbcf-0a47033a9715	1	6035	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pnpla2	chr19	9962462	+	chr7	141035110	+	380684a8-e0d7-4d32-b363-ce2a724ea403;e8a0671d-9757-4342-b10a-3370c4e3bf00	2	18414;23604	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Poldip2	chr19	9962462	+	chr11	78409778	+	5016908d-c81d-4566-9b1c-e2b18456d8fc	1	30631	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Poll	chr19	9962462	+	chr19	45548155	-	95802a6d-f61b-4c65-9cd2-c58aeb1dc622	1	5999	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Polr2g	chr19	9962462	+	chr19	8771731	-	1fe93fed-e83b-4ba1-9496-dce27b0772b5	1	28823	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pomp	chr19	9962462	+	chr5	147799362	+	6a4367e5-ca2f-410b-a7e5-bf5e822ba1df	1	6033	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pomp	chr19	9962462	+	chr5	147812273	+	673cf410-3572-4a10-9fd9-28c1208d49f1	1	25412	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pomt2	chr19	9962462	+	chr12	87178605	-	c88457a1-8915-4d67-ab49-b0c110464ac3	1	23635	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pparg	chr19	9962462	+	chr6	115416800	+	f31acb2e-48a6-4ab2-9fba-a58d023d37f3	1	27151	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ppib	chr19	9962462	+	chr9	65967512	+	3aec0ade-344d-4525-9e1b-1d0b092f8250;da974b9d-a470-445f-8961-564aa3b848bb	2	12339;34107	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ppip5k2	chr19	9962456	+	chr1	97635555	-	d60ba1bc-05ec-44a4-8883-b599b0843e25	1	12358	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ppp1ca	chr19	9962462	+	chr19	4243020	+	9521013d-6d61-468c-a323-1f57ed7523e6	1	18623	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ppp1r18	chr19	9962462	+	chr17	36185688	+	88889371-026a-418a-b705-0a70d699f0db	1	12342	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ppp4c	chr19	9962462	+	chr7	126391668	-	9eef81ec-5aad-4ef9-bdbf-bc3ae52ece84	1	6038	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ppt2	chr19	9962456	+	chr17	34845969	-	ee0f3000-8feb-464c-b46b-548e93b5e3c0	1	24797	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prdx1	chr19	9960347	+	chr4	116556367	+	47506e6a-1b95-42a1-bf9b-f1d7c1871d4c	1	981	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prdx1	chr19	9962456	+	chr4	116550079	+	6ed2a55e-96bd-4adb-9445-d20f692b94f2	1	12321	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prdx1	chr19	9962456	+	chr4	116550913	+	3a94ccec-2f24-4137-9f27-8b7819a6a6f3	1	6016	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prdx1	chr19	9962462	+	chr4	116544603	+	29a3ec70-8d7a-4b32-b422-d0925c8b7fdb;82e5a534-409e-41c3-b477-64e394551432;b4e974dc-101b-4131-a381-ccc0e00a5a67;caf76bc6-534d-4d9d-937b-9d074bf55894	4	18460;25402;25403;34089	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prdx1	chr19	9962462	+	chr4	116550913	+	033d20f2-6656-4180-a5ff-e39a08a2930b;66e75d24-3545-41d8-ac11-eaec5ffca7ba	2	18461;28685	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prdx1	chr19	9962462	+	chr4	116556367	+	7a3dcaee-ee7b-4db5-b426-8245576dcd76;db988d7d-16dc-4e95-be52-b1e9dbb04e90	2	18458;18459	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prdx2	chr19	9962456	+	chr8	85697915	+	10314465-c7c6-42fb-a968-0e87834055df	1	15946	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prkcb	chr19	9962456	+	chr7	122232967	+	227395e6-c475-4aba-a67e-3e700863712e	1	6112	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prkcd	chr19	9962462	+	chr14	30348167	-	babd8344-752c-4d23-9beb-a81f117f11c3	1	31172	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Procr	chr19	9962462	+	chr2	155596159	+	46e692ba-c70e-4f15-aa4b-5629847ba6fa;6d9ebb7e-0961-4ffe-bb38-44d602299ed1	2	23611;25395	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prpf31	chr19	9962462	+	chr7	3633556	+	a68c1d38-410b-42ed-842e-4bc45367fd61	1	4320	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prr13	chr19	9962462	+	chr15	102367636	+	57ac3266-3d11-44c4-900d-842dc2837a57	1	28527	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Prr13	chr19	9962462	+	chr15	102367898	+	f574ed94-f8e0-426f-8a6c-225ca81c91f6	1	17991	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psap	chr19	9962456	+	chr10	60130744	+	24bd666d-3c0e-4a5b-8228-1f27c2c2aee8	1	10356	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psap	chr19	9962456	+	chr10	60135557	+	4cc46eb9-22bd-4868-9803-ba832027e27d	1	27434	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psap	chr19	9962456	+	chr10	60135926	+	15a6ceb9-14e9-418c-ad2c-1316a6dc7dcf	1	10357	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psap	chr19	9962456	+	chr10	60137472	+	72264e9e-05c8-42d8-b00f-e5e0f5a806f8	1	3531	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psap	chr19	9962462	+	chr10	60129128	+	6507a87b-91b1-44fa-beb9-f7d481b36125	1	35772	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psap	chr19	9962462	+	chr10	60130744	+	770b88be-ccd9-47e1-8a24-127153c36ecf	1	15711	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psap	chr19	9962462	+	chr10	60131725	+	f705b2c0-9e6e-41be-8f9d-a78cca64473b	1	33282	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psap	chr19	9962462	+	chr10	60135557	+	0466143c-c2a5-4c13-8eea-3c24fb57230a	1	15712	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psap	chr19	9962462	+	chr10	60136316	+	98ac2572-1c0a-4b00-9628-942ee524e481	1	10358	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psma3	chr19	9962462	+	chr12	71025506	+	d722e71b-f996-486d-8525-1853a299f4b1	1	18713	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psma4	chr19	9962462	+	chr9	54858073	+	a49f6f66-f850-4734-afd0-3d10c5b5dca7	1	25429	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb10	chr19	9962456	+	chr8	106662537	-	cb5d406d-73f7-4819-a7c1-52278ca31a6d	1	25426	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb10	chr19	9962456	+	chr8	106663613	-	3d88e475-7fef-45a6-99ee-efff79a916c7	1	18500	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb10	chr19	9962462	+	chr8	106663386	-	9cc2e636-0e2c-4297-a6b8-f4f6d5f9c37c	1	18499	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb3	chr19	9962462	+	chr11	97594613	+	a0728cec-0d58-4dac-b515-13dc4f80abbe	1	36131	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb5	chr19	9962456	+	chr14	54855479	-	6e0960bd-0b1e-4670-9b1a-2e62ec5cb26c	1	25152	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb5	chr19	9962462	+	chr14	54855479	-	de2192cb-f66d-4853-89b8-4fc0e9cbff47;e356590c-7c9a-46b3-a45b-094177956482	2	5542;25153	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb6	chr19	9962456	+	chr11	70416211	+	be7b3ccf-dd13-4dd8-8633-64c2b0630c89	1	16922	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb6	chr19	9962462	+	chr11	70416211	+	2a35379b-fbaa-4568-9976-ebaad6a9ed73	1	31008	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb8	chr19	9962456	+	chr17	34420151	+	f3d74330-3219-42c1-a883-7dfe9b050305	1	18189	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psmb9	chr19	9962462	+	chr17	34402718	-	0a002339-ba70-4d4a-88e4-bb816b180fb1;6c677dd2-2c0f-402c-93c8-254cdcc6190f	2	18872;34192	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psme1	chr19	9962456	+	chr14	55817051	+	82346e32-9a29-43b0-9e8f-21bc290f4e93	1	17747	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psme1	chr19	9962462	+	chr14	55818374	+	4fe4d7a6-7b33-4250-8873-abe80c49404f	1	17746	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psme2	chr19	9962456	+	chr14	55827552	-	1e7de7a3-6ef8-46a6-88ae-462fe8d5b8b8	1	18835	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psme2	chr19	9962462	+	chr14	55826855	-	d32caee5-5b04-4254-8fdd-3fc7700c71a4	1	23696	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Psme3	chr19	9962456	+	chr11	101211552	+	ad54347c-551b-4053-843b-fa4d79326e88	1	18827	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ptges3-ps	chr19	9962456	+	chr6	85820961	+	3cafb725-d983-4fc1-90f8-c7168bfc4deb	1	18619	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ptk2b	chr19	9962462	+	chr14	66518501	-	8a6f02a4-6b2d-43c8-95e9-b41dfa619ee6	1	18707	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ptov1	chr19	9962462	+	chr7	44514259	-	927794f5-6443-44ae-a6fd-f770c443ce7c	1	18583	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ptpmt1	chr19	9962462	+	chr2	90748389	-	1f4ca6cb-1502-450d-8fb1-717c7dd29a01;930d5f36-ea73-436b-95c3-075257079baf	2	18758;25548	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ptpn18	chr19	9962462	+	chr1	34511843	+	addcd85d-3bc4-41ab-9f63-1ab818b9d55c	1	32629	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ptprcap	chr19	9962462	+	chr19	4203602	+	63971aab-2a1d-47a4-9f23-1f3ee221df8f	1	2694	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ptpro	chr19	9962462	+	chr6	137387971	+	0546f5c8-f3ab-482f-8484-97013627f77a	1	12331	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Pttg1	chr19	9962456	+	chr11	43316508	-	8b8364d1-8b16-4ece-82ab-42f7903b70b1	1	35989	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rab2a	chr19	9962462	+	chr4	8535643	+	92633caa-a59c-4927-bce5-167e85092e1c	1	32654	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rab3gap2	chr19	9962462	+	chr1	185016043	+	88352363-0c23-4b88-8797-7b46d1cddd49	1	28730	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rab8a	chr19	9962462	+	chr8	72931463	+	5ef05d03-0cc8-4173-8cff-900fab5f1dd8	1	27324	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rac2	chr19	9962462	+	chr15	78450231	-	bf9125a0-770c-43b3-b37d-93fc9d3573dd	1	6051	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rac2	chr19	9962462	+	chr15	78456983	-	7935f1b3-2e51-45ed-a863-1b00f6c06789	1	25432	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rack1	chr19	9962462	+	chr11	48691186	+	24bb6f07-ca84-4303-ab6c-85693850f340;2ce9c0f5-224c-4faa-b8ca-9e3b988fa437;964ed042-40a8-4df8-a684-b0ca3f87653d;ac93d7cc-061b-43bb-8edb-db20fa9dfcf1	4	11568;17248;17249;33755	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rack1	chr19	9962462	+	chr11	48694230	+	757b13da-e642-4a4a-b75a-02df487085fa	1	5131	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rad23a	chr19	9962462	+	chr8	85567270	-	a2dd30b3-9bc0-4e7a-92be-92b049e8cfd0	1	15627	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ranbp1	chr19	9962462	+	chr16	18058823	-	ff15d471-bf3b-4ed9-b35e-941a50adb4d6	1	10587	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rangap1	chr19	9962462	+	chr15	81596336	-	831e5c82-d29d-4bc4-99a5-2e93e4f5a053	1	25173	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rars	chr19	9962456	+	chr11	35708355	-	64e1f5f6-e11f-432e-b74c-007d8de45fad	1	33694	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rbbp8	chr19	9962462	+	chr18	11873982	+	78b58ff6-2b46-40c5-9c80-6b03484f614d	1	6079	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rbck1	chr19	9962456	+	chr2	152160731	-	459e9862-e006-4cf5-a24b-73e0b50eac94	1	25394	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rbm8a	chr19	9962462	+	chr3	96537248	+	4bfda874-a4b2-49e1-8eac-8fa0cf52e809	1	18582	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rcbtb2	chr19	9962462	+	chr14	73411162	+	dad44dc6-e87d-4773-b273-d813b443002c	1	11900	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Reep5	chr19	9962462	+	chr18	34506422	-	f82cbda4-67a6-4b4b-8484-6d2bc2df224c	1	23276	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Retnla	chr19	9962462	+	chr16	48663154	+	90d67276-1de0-4dec-aafc-c8b74138e68b;cc0f60e6-ee57-4bb0-add3-56d10df84918;de1b0bd2-ae36-4256-9df6-25e7a81857dd	3	12393;12394;31344	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rgl1	chr19	9962462	+	chr1	152420186	-	e77ea57b-b063-4f52-92bd-c452f85b9756	1	34084	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rgs12	chr19	9962462	+	chr5	35196506	+	4d294d21-3c6e-4bd4-9a59-6de520d8dce5	1	6024	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rgs19	chr19	9962462	+	chr2	181331404	-	ccf1e40c-578f-40fc-9896-6bec09b55ea1	1	27281	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rhoa	chr19	9962456	+	chr9	108212249	+	a1dd4955-9af5-4516-b969-aa53be31f9e9	1	16242	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rhob	chr19	9962456	+	chr12	8550009	-	aecf7e96-ee93-4f31-a05f-3033f8ff3bed	1	34162	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rhog	chr19	9962462	+	chr7	101889519	-	0bb6e138-af7c-42f6-a50f-5b2554335c77;19b08806-deb6-4a34-aac1-b79c26b1ae58	2	6185;18807	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rhog	chr19	9962462	+	chr7	101899330	-	b2e6fccd-e0b4-4527-ab36-0fc5b8b5ed01	1	28830	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Ric8a	chr19	9962462	+	chr7	140441208	+	d1525604-79bc-4cbb-9db5-e8353ddcf364	1	6004	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rn7s1	chr19	9962462	+	chr12	69206068	+	f74a72cc-318f-4c0c-a3b1-3571357e7811	1	23706	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rnasek	chr19	9962462	+	chr11	70130668	-	f700746c-0bcb-49cb-b96a-680226f979c1	1	18866	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rnf128	chr19	9962462	+	chrX	138572483	+	88d9def5-c16f-4d65-9072-68efa634e896	1	31315	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rnf130	chr19	9962462	+	chr11	49995375	+	5066cd63-0c28-4e0b-a6fe-6175a966eac5	1	28261	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rnf19b	chr19	9962462	+	chr4	128952063	+	127d75de-c2d7-4a17-aadf-658682449c1f	1	25405	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rnh1	chr19	9962462	+	chr7	140740733	-	a871e65b-78ec-4e7a-a288-5f9bdde9b565	1	18587	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rnh1	chr19	9962462	+	chr7	140746700	-	554a28b7-0fd4-467e-91ee-a90ef37fae98;70c56582-80d6-41f7-83dd-4d72ff09ab48	2	18588;31327	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rnpep	chr19	9962462	+	chr1	135195020	-	59793b94-a67f-426f-8a93-9f9540b40c3e	1	6080	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rnpepl1	chr19	9962462	+	chr1	92838504	+	01e78637-91a2-46be-98ec-3b890d9c813e	1	28676	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rpl10-ps3	chr19	9962456	+	chr9	50256268	-	4272bc59-27ef-4e81-a7ca-01fa59a6eaaa;b076560d-cf2a-4f82-aca9-7c49453c2f45;b348c0a8-57ac-46e1-84c2-64d51f0de780	3	6122;12386;18700	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rpl10-ps3	chr19	9962462	+	chr9	50256268	-	3ede984c-1567-4fc6-8465-8e0a0217c839;b073b019-8573-4f3c-a666-e50ededb530e;b3f57c63-440e-4826-98a5-cedb8b7777d9	3	6123;23668;28769	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rpl10-ps6	chr19	9962462	+	chr19	37273195	-	32d7a247-bc8a-47f3-89ff-bb70ace02596;70cf8c13-4ae3-45f9-acd5-5f76bb1f6928;fd9e0e1c-871e-4d71-997e-c9576a541826	3	18839;25581;25582	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Fth1:Rpl10a	chr19	9962456	+	chr17	28547940	+	aee904cb-0dcc-4a40-8ce3-ab15ca329d44	1	31325	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
